,,,,,,,,,
,,ACTION, TASK / ITEM,FREQUENCY,NOTE,IMPACT,DOC,SCRIPT,EXT
,FALSE,Review:, Pre-defined reports filter by label to understand your test,Monthly,,HIGH,,,
,FALSE,Apply:," Based on results, apply the winning element to your ads",Monthly,,HIGH,,,
,FALSE,Check:,Creating and working with Responsive Search Ads,Monthly,💬,MID,📑,,
,FALSE,Apply:,Responsive Search Ad strength score,Weekly,💬,MID,📑,,
,FALSE,Optional:, Ad creation date,Automated,💬,MID,,🛠️,
,,, Ad Optimisation,,,,,,
,FALSE,💡,"Remember, when creating new ads from old ones - copy and edit, don't just edit",Ongoing,💬,HIGH,,,
,FALSE,Apply:, Write new ad copy - using 'Clarity' and 'The 23 Pillars of Ad Copy Playbook',Monthly,,HIGH,,,
,FALSE,Review:, Ad copy testing ideas,Monthly,💬,HIGH,📑,,
,FALSE,Optional:, Use DKI (Dynamic Keyword Insertion) as a quick way of improving adverts in bulk,Weekly,💬,MID,,,
,FALSE,Check:," Ad groups have active ads, at least 1 RSA enabled",Ongoing,💬,MID,,,▶️
,FALSE,Review:, Responsive Search Ad optimisation,Bi-weekly,💬,HIGH,📑,,
,FALSE,Review:," Extract queries from DSA, apply them as negatives to DSA",Bi-weekly,,MID,,,
,FALSE,Review:, DSA landing pages and exclude poor performers,Bi-weekly,,MID,,,
,FALSE,Optional:," Create a new ad group for the losing landing page, create more specific ads to suit it",Bi-weekly,,MID,,,
,FALSE,Apply:, Remove duplicated adverts,Automate,,MID,,🛠️,
,FALSE,Check:, No active underperforming ads in 'Rotate' campaigns,Weekly,,MID,,,
,,,Performance Max,,,,,,
,FALSE,💡, Review timeline,Weekly,💬,HIGH,,,🔗
,FALSE,💡,Unspent budget - important for Ecommerce,Ongoing,💬,MID,,,
,FALSE,💡, Less is sometimes more (do you need to optimise),Weekly,💬,MID,,,
,FALSE,Check:, Brand defence and mitigating PMax brand spend,Monthly,💬,MID,,,
,FALSE,Review:, Ad Strength,Bi-weekly,💬,MID,,,
,FALSE,Review:, Asset performance column,Bi-weekly,💬,HIGH,,,
,FALSE,Review:, Assets to remove/replace,Monthly,💬,MID,,,
,FALSE,Check:, Insights tab - share of conversions per audience,Weekly,💬,MID,,,
,FALSE,Review:, Diagnosing PMax performance issues,Ongoing,💬,HIGH,,,
,FALSE,Review:, Top search themes,Weekly,💬,MID,,,
,FALSE,Review:, Asset Group performance - when to split,Bi-weekly,💬,HIGH,,,
,FALSE,Check:, Asset report for automatically generated videos,Monthly,💬,MID,,,
,,, Audiences,,,,,,
,FALSE,Review:, Audience performance,Bi-weekly,💬,MID,,,
,FALSE,Apply:, Observation audiences applied,Bi-weekly,💬,MID,,,
,FALSE,Apply:, Audience exclusions applied,Monthly,💬,MID,,,
,FALSE,Apply:, Remarketing audiences applied as observations to search campaigns,Monthly,💬,MID,,,
,FALSE,Check:, Accidental observation instead of targeting setting,Monthly,💬,HIGH,,,
,FALSE,Check:,Remarketing audiences are set to Target (not Observation) in dedicated remarketing campaigns,Monthly,💬,HIGH,,,
,,, Ad Extensions,,,,,,
,FALSE,Check:,Min 4 (Max 10) Callout extensions are applied to each campaign,Monthly,,MID,📑,,🔗
,FALSE,Check:,Min 4 Sitelinks are applied to each campaign,Monthly,💬,HIGH,,,🔗
,FALSE,Check:,If promotion extensions are running they are up to date (and have an end date),Weekly,,HIGH,,,
,FALSE,Review:,Extensions performance,Monthly,,HIGH,,,
,FALSE,Apply:,Create new ad extensions if performance review suggests you should,Monthly,,MID,,,
,FALSE,Check:,Automated extensions are disabled,Once,,HIGH,,,
,,, Display,,,,,,
,FALSE,💡,Start with remarketing,Once,💬,HIGH,,,
,FALSE,Check:,"Always, always remove audience expansion on remarketing campaigns. Always!",Once,💬,HIGH,,,
,FALSE,Apply:," Segment campaigns and ad groups by placement, topic, demographic, device, audience etc",Weekly,💬,MID,,,
,FALSE,Optional:, Test 'Optimised Targeting' to expand your reach,Monthly,💬,MID,,,
,FALSE,Apply:, Exclude mobile apps from campaigns,Once,💬,HIGH,,,
,FALSE,Apply:, Exclude unwanted categories,Once,,MID,,,
,FALSE,Check:, Turn off automated audience expansion (until you have lots of conversions),Once,,MID,,,
,FALSE,Optional:, Test pay for conversions with Smart Display,Monthly,💬,MID,,,
,,, Targeting & Data,,,,,,
,FALSE,Review:, Search Partner performance,Monthly,💬,LOW,,,
,FALSE,Review:, Geographic / location data,Monthly,,MID,,,
,FALSE,Apply:, Bid adjustments for locations,Monthly,💬,MID,,,
,FALSE,Review:, Add new locations,Bi-weekly,💬,MID,,,
,FALSE,Apply:,Geo exclusions for non-converting cities for smart bidding enabled campaigns,Monthly,💬,MID,,,
,FALSE,Review:,Attribution model benchmark,Monthly,💬,HIGH,📑,,
,FALSE,Review:,Ad schedule and apply new modifiers (or time exclusions),Monthly,,MID,,,
,,, Shared Libraries,,,,,,
,FALSE,Check:,Negative Keyword lists are appropriately applied,Monthly,,HIGH,,,
,FALSE,Check:,Placement exclusions lists are applied to display campaigns,Monthly,,HIGH,,,
,,,Automated Routines,,,,,,
,FALSE,💡,Your automations must be in sync with your lookback windows,Ongoing,💬,MID,,,
,FALSE,Review:,OptiScore recommendations,Bi-weekly,💬,LOW,,,▶️
,FALSE,Review:,Automated rules,Monthly,💬,HIGH,,,
,FALSE,Optional:,Weekend rule to pause campaign or ads with specific labels,Automated,💬,MID,,,
,FALSE,Apply:, Automated negative keyword list builder,Automated,💬,MID,,🛠️,
,FALSE,Check:, Low quality score alert,Automated,💬,MID,,🛠️,
,FALSE,Check:,Link checker,Automated,,MID,,🛠️,
,FALSE,Apply:,404 errors in GA email alert,Automated,💬,HIGH,,,
,FALSE,Check:,"Scripts are running and authorised, without errors",Bi-weekly,💬,HIGH,,,
,,,Disapprovals,,,,,,
,FALSE,Check:,Disapproved ads,Ongoing,,HIGH,,,
,FALSE,Check:,Disapproved app extensions,Ongoing,,LOW,,,
,FALSE,Check:,Disapproved call extensions,Ongoing,,MID,,,
,FALSE,Check:,Disapproved callout extensions,Ongoing,,MID,,,
,FALSE,Check:,Disapproved keywords,Ongoing,,HIGH,,,
,FALSE,Check:,Disapproved location extensions,Ongoing,,MID,,,
,FALSE,Check:,Disapproved sitelinks,Ongoing,,MID,,,
,FALSE,Check:,Disapproved structured snippet extensions,Ongoing,,LOW,,,
, 6 - SHOPPING,,,,,,,,
,,,Merchant Feed,,,,,,
,FALSE,💡, Product feed requirements - required product information and format,Ongoing,,HIGH,,,🔗
,FALSE,💡, Product feed optimisation - better than best practices and many ideas to test,Monthly,,HIGH,📑,,
,FALSE,Check:, Resolve disapproved items because of incorrect or missing product identifier,Weekly,,HIGH,,,🔗
,FALSE,Check:, Remove any promotional overlays on product images,Weekly,,HIGH,,,🔗
,FALSE,Check:, Disapproved URLs ,Weekly,💬,HIGH,,,🔗
,FALSE,Review:, Your feed optimisation rules ,Bi-weekly,💬,HIGH,,,🔗
,FALSE,Review:, Product titles are following best practices,Bi-weekly,💬,HIGH,,,
,FALSE,💡, BRAND vs brand in product titles,Once,💬,HIGH,,,
,FALSE,Review:," Product title examples - BRAND, brand and category",Bi-weekly,💬,HIGH,,,
,FALSE,Apply:, Prepend product titles with brand,Ongoing,💬,MID,,,
,FALSE,Apply:, Individual title optimisation for best sellers and high volume products,Weekly,💬,MID,,,
,FALSE,Apply:, Appropriate product categories,Monthly,💬,MID,,,🔗
,,,Shopping Specific,,,,,,
,FALSE,💡, Account structure - updating August 2025,Once,💬,HIGH,⌛,,
,FALSE,Apply:, Test a 0-click campaign for products that failed to get noticed,Monthly,💬,MID,,,
,FALSE,Apply:, Test a dedicated best sellers campaign,Weekly,💬,,,,
,FALSE,Review:, Review search term reports on shopping campaigns for new keywords,Bi-weekly,💬,MID,,,
,FALSE,Apply:, If using Manual CPC update product level bids,Weekly,,HIGH,,,
,FALSE,Apply:, Exclude poor performing products from your product groups,Weekly,,MID,,,
,FALSE,Review:, Previously excluded products to see if they can be improved,Monthly,💬,MID,,,
,FALSE,Review:, Competitor's version/equivalent of your excluded products,Monthly,💬,MID,,,
,FALSE,Review:, Shopping auction performance,Weekly,💬,MID,,,
,FALSE,Check:, Best sellers have sufficient budget and aren't limited,Weekly,💬,HIGH,,,
