Search terms report
"October 13, 2025 - November 11, 2025"
Search term,Match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost
luxury hotels brockenhurst,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
majestic spa,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bamford spa,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels in grantham,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
chester hotels luxury,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
4 day holidays uk,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hadlow manor hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
4 star hotel in england,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the wild rabbit cotswolds,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best spa breaks uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
doncaster hotels,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa breaks black friday,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotel stoke on trent,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels wetherby,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hedley house hotel & apartments,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa hotel yorkshire 5 star,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near scotch corner,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in lymm uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in bradford,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country hotels near newcastle upon tyne,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the george hotel harrogate,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels in kent uk,Performance Max,None,1,2,50.00%,GBP,1.09,1.09,0.00,0.00,0.00%,0.00,0.00
middleton lodge spa,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bainbridge leyburn,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the coniston hotel,Performance Max,None,0,5,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels on the chatsworth estate,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
castle combe hotel,Performance Max,None,0,8,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa by wildes inns,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
craven arms bolton abbey,Performance Max,None,0,9,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels in devon and cornwall,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the hide hotel chatsworth,Performance Max,None,6,50,12.00%,GBP,1.03,6.15,0.00,0.00,0.00%,0.00,0.00
boutique hotel sheffield,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
ashover rock,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel near skipton,Performance Max,None,2,14,14.29%,GBP,0.80,1.60,0.00,0.00,0.00%,0.00,0.00
luxury hotels north yorkshire coast,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
5 * hotels north yorkshire,Performance Max,None,1,1,100.00%,GBP,0.41,0.41,0.00,0.00,0.00%,0.00,0.00
nutfield priory hotel & spa,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
south lodge hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
burntwood barnsley,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
damson dene hotel lyth valley,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
new year hotel breaks derbyshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in malton yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hever castle hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
pub in grassington,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hardwick hall,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
lensbury club hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
places to stay haworth,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near mexborough,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotel in huddersfield,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel near skipton yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
loose hill house hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the longlands inn & restaurant,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
stay at chatsworth,Performance Max,None,11,42,26.19%,GBP,0.32,3.49,0.00,0.00,0.00%,0.00,0.00
estelle manor cotswolds,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cavens hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
top hotels in wales uk,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
sheffield hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
ripley hotels yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
5 star hotels in the lakes district uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
romantic road cotswolds,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
chester boutique hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
lovelady shield hotel,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel kineton,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bolton abbey parking,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best luxury hotels in london,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
dog friendly hotel yorkshire moors,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa day for 2,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in knaresborough,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
castle ashby falcon,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
soho house london countryside,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
where to stay in ledbury,Performance Max,None,1,2,50.00%,GBP,1.65,1.65,0.00,0.00,0.00%,0.00,0.00
stone house yorkshire dales,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
peak district spa,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire dales luxury accommodation,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotel west yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near chapel en le frith,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in south wales,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels yorkshire,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire dales,Performance Max,None,8,263,3.04%,GBP,0.67,5.34,0.00,0.00,0.00%,0.00,0.00
dunster hotels,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the fell burnsall,Performance Max,None,30,78,38.46%,GBP,0.71,21.35,0.00,0.00,0.00%,0.00,0.00
buckland manor hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
baslow derbyshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bishop rock lighthouse hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
highfield guest house skipton,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
champneys yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the fells,Performance Max,None,0,11,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cheval uk,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
manor house hotel spa deals,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in ripon uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury uk hotels,Performance Max,None,1,2,50.00%,GBP,0.59,0.59,0.00,0.00,0.00%,0.00,0.00
luxury hotels norfolk uk,Performance Max,None,1,1,100.00%,GBP,1.41,1.41,0.00,0.00,0.00%,0.00,0.00
hotels thirsk yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bramhall hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the swan hotel cotswolds,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bespoke hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa break yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel haworth uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
skipton luxury hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels nottingham,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
top yorkshire hotels,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
mottram hall hotel & spa,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
beaulieu hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fell hotel bolton abbey,Performance Max,None,5,19,26.32%,GBP,0.65,3.23,0.00,0.00,0.00%,0.00,0.00
brockencote hall hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
moddershall oaks spa,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
inn for all seasons cotswolds,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the seafield,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
leeds country house hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
welwyn hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the highfield hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
heckfield place,Performance Max,None,0,15,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
tutbury hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
5 star hotels near chatsworth house,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
malton,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cottage in the yorkshire dales,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bolton abbey polar express,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country house hotel yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in leyburn,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel oakley court,Performance Max,None,1,2,50.00%,GBP,5.18,5.18,0.00,0.00,0.00%,0.00,0.00
castle inn hotel castle combe,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa hotel hull,Performance Max,None,1,2,50.00%,GBP,0.32,0.32,0.00,0.00,0.00%,0.00,0.00
where is bolton abbey,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
boutique hotel leicestershire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
gastro pubs with rooms yorkshire dales,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
baytree house harrogate,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
laceby manor,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
auberge du lac brocket hall,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
5 star hotels in london,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
uk hotels,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
marco pierre white's rudloe arms,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
saltmoore hotel,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the pig at combe,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
majestic hotel & spa harrogate,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
5star hotels in yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
rutland hall hotel and spa,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels in huddersfield,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
buxton hotels,Performance Max,None,1,5,20.00%,GBP,2.27,2.27,0.00,0.00,0.00%,0.00,0.00
5 star hotel nottingham,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
boutique hotels near chatsworth house,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fell burnsall,Performance Max,None,7,12,58.33%,GBP,0.53,3.68,0.00,0.00,0.00%,0.00,0.00
best hotel in bakewell,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa hotel buxton derbyshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa cleckheaton,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the lake district best places to stay,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
herriots hotel skipton,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels shropshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
shepton mallet hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels cotswolds,Performance Max,None,0,8,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels com uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
where to stay in thornton le dale,Performance Max,None,1,2,50.00%,GBP,0.33,0.33,0.00,0.00,0.00%,0.00,0.00
hotel in thornton le dale,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
family friendly hotels yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the old bell hotel malmesbury,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hellaby hall hotel,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
gainsborough bath hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near ambleside,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire dales spa hotels,Performance Max,None,1,4,25.00%,GBP,0.20,0.20,0.00,0.00,0.00%,0.00,0.00
luxury hotel in stratford upon avon,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in huntingdon,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in skipton north yorkshire,Performance Max,None,1,3,33.33%,GBP,0.84,0.84,0.00,0.00,0.00%,0.00,0.00
four seasons outside london,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
sedbergh hotels,Performance Max,None,1,3,33.33%,GBP,0.70,0.70,0.00,0.00,0.00%,0.00,0.00
best hotels broadway cotswolds,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spabreaks,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
pubs with rooms north yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the red lion and manor house burnsall,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels harrogate,Performance Max,None,2,9,22.22%,GBP,1.55,3.10,0.00,0.00,0.00%,0.00,0.00
baslow peak district,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire spa retreat,Performance Max,None,1,50,2.00%,GBP,0.22,0.22,0.00,0.00,0.00%,0.00,0.00
boutique hotels nottingham city centre,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
grant arms hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
derbyshire christmas breaks,Performance Max,None,1,3,33.33%,GBP,0.41,0.41,0.00,0.00,0.00%,0.00,0.00
horsham hotel south lodge,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
amersham hotel,Performance Max,None,0,11,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the elms hotel and spa,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels yorkshire dales,Performance Max,None,0,10,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country hotels near bath uk,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
luxury hotels chatsworth,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the trip bolton abbey,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels near bilbrough york,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa hotels north yorkshire,Performance Max,None,2,12,16.67%,GBP,0.16,0.33,0.00,0.00,0.00%,0.00,0.00
hyll hotel cotswolds,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in austwick yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels in bibury,Performance Max,None,0,4,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa bolton abbey,Performance Max,None,2,11,18.18%,GBP,0.42,0.84,0.00,0.00,0.00%,0.00,0.00
langcliffe yorkshire dales,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the bull burford,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
michelin star hotels in yorkshire,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
anouska hempel blakes hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotel near bolton abbey,Performance Max,None,7,45,15.56%,GBP,0.76,5.35,0.00,0.00,0.00%,0.00,0.00
derbyshire arms baslow,Performance Max,None,1,2,50.00%,GBP,0.43,0.43,0.00,0.00,0.00%,0.00,0.00
hotel near hawes,Performance Max,None,0,5,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
forcett grange,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
ambleside salutation hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the strid river wharfe,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fell beck cottage burnsall,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
merthyr tydfil hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
pubs grassington north yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
mottram hall hotel,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa hotel at ribby hall village,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country hotels manchester,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
bradford arms bradford,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
village hotel leeds,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire new year breaks,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
peacock rowsley,Performance Max,None,1,2,50.00%,GBP,0.32,0.32,0.00,0.00,0.00%,0.00,0.00
chatsworth inn,Performance Max,None,1,7,14.29%,GBP,0.23,0.23,0.00,0.00,0.00%,0.00,0.00
pooley bridge hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the fell hotel photos,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
harrogate hotels christmas breaks,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
5 * hotels lake district,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
griffon forest,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
estelle manor oxfordshire,Performance Max,None,0,6,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
roll top bath hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels appletreewick yorkshire,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
fell hotel burnsall,Performance Max,None,8,23,34.78%,GBP,1.06,8.47,0.00,0.00,0.00%,0.00,0.00
best hotels stafford,Performance Max,None,1,2,50.00%,GBP,0.91,0.91,0.00,0.00,0.00%,0.00,0.00
southwold hotels luxury,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
cornhill castle,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa hotel in yorkshire dales,Performance Max,None,0,3,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
country hotel near manchester,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
accommodation dent yorkshire dales,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
yorkshire dales national park spa hotel,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
hotels in wensleydale,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
abbeyhouse,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best hotels uk countryside,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
market harborough hotels,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
harrogate rudding park,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
weekend weg engeland,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
best places to stay in the yorkshire dales,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
spa resorts,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
herriots skipton,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
careys manor hotel & senspa brockenhurst,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
the pheasant helmsley,Performance Max,None,0,1,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
five star hotels in dorset england,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
romantic hotel peak district,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
derwent manor,Performance Max,None,0,2,0.00%,GBP,0,0.00,0.00,0.00,0.00%,0.00,0.00
